Area,Latitude,Longitude
Vasant Kunj,28.5245,77.1540
Greater Kailash,28.5484,77.2387
Janakpuri,28.6219,77.0878
Punjabi Bagh,28.6691,77.1259
Rohini,28.7494,77.0565
Noida Sector 18,28.5708,77.3260
IGI Airport,28.5562,77.1000
Chandni Chowk,28.6562,77.2303
Mayur Vihar,28.6096,77.2947
Okhla,28.5308,77.2732
Model Town,28.7046,77.1936
Dwarka,28.5921,77.0460
Saket,28.5245,77.2066
Hauz Khas,28.5494,77.2001
Nehru Place,28.5494,77.2513
AIIMS,28.5672,77.2100
Pitampura,28.6966,77.1322
Connaught Place,28.6315,77.2167
Rajouri Garden,28.6425,77.1221
Kalkaji,28.5490,77.2588
Preet Vihar,28.6415,77.2952
Karol Bagh,28.6519,77.1909
Lajpat Nagar,28.5677,77.2431
Shahdara,28.6737,77.2890
Civil Lines,28.6766,77.2250
