Station_ID,City,Date,Vehicle_Type,Charging_Start_Time,Charging_End_Time,Energy_Consumed_kWh,Cost_INR,Payment_Method,Charging_Start,Charging_End,Session_Duration_Minutes,Start_Hour,End_Hour,Day_of_Week,Is_Weekend,Month,supports_2W,supports_3W,supports_4W
ST007,Delhi,2025-10-15,Truck,06:04,08:44,77.9,779.0,Card,2025-10-15 06:04:00,2025-10-15 08:44:00,160.0,6,8,Wednesday,False,10,0,0,1
ST030,Delhi,2025-10-15,Bike,16:05,16:56,64.9,649.0,UPI,2025-10-15 16:05:00,2025-10-15 16:56:00,51.0,16,16,Wednesday,False,10,1,0,0
ST031,Delhi,2025-10-15,Truck,07:50,10:24,87.3,873.0,Cash,2025-10-15 07:50:00,2025-10-15 10:24:00,154.0,7,10,Wednesday,False,10,0,0,1
ST046,Delhi,2025-10-15,Bus,14:43,15:38,23.0,230.0,Card,2025-10-15 14:43:00,2025-10-15 15:38:00,55.0,14,15,Wednesday,False,10,0,0,1
ST073,Delhi,2025-10-15,Car,16:54,18:22,42.5,425.0,Card,2025-10-15 16:54:00,2025-10-15 18:22:00,88.0,16,18,Wednesday,False,10,0,0,1
ST083,Delhi,2025-10-15,Car,20:26,21:06,88.0,880.0,Card,2025-10-15 20:26:00,2025-10-15 21:06:00,40.0,20,21,Wednesday,False,10,0,0,1
ST084,Delhi,2025-10-15,Bike,08:58,10:31,74.4,744.0,Cash,2025-10-15 08:58:00,2025-10-15 10:31:00,93.0,8,10,Wednesday,False,10,1,0,0
ST085,Delhi,2025-10-15,Bus,08:55,11:25,68.5,685.0,UPI,2025-10-15 08:55:00,2025-10-15 11:25:00,150.0,8,11,Wednesday,False,10,0,0,1
ST109,Delhi,2025-10-15,Truck,18:45,21:01,74.3,743.0,Cash,2025-10-15 18:45:00,2025-10-15 21:01:00,136.0,18,21,Wednesday,False,10,0,0,1
ST119,Delhi,2025-10-15,Bike,11:04,13:36,97.4,974.0,Card,2025-10-15 11:04:00,2025-10-15 13:36:00,152.0,11,13,Wednesday,False,10,1,0,0
ST121,Delhi,2025-10-15,Truck,06:45,07:15,50.9,509.0,UPI,2025-10-15 06:45:00,2025-10-15 07:15:00,30.0,6,7,Wednesday,False,10,0,0,1
ST125,Delhi,2025-10-15,Truck,18:06,20:15,82.5,825.0,Card,2025-10-15 18:06:00,2025-10-15 20:15:00,129.0,18,20,Wednesday,False,10,0,0,1
ST128,Delhi,2025-10-15,Truck,11:47,14:24,49.5,495.0,Cash,2025-10-15 11:47:00,2025-10-15 14:24:00,157.0,11,14,Wednesday,False,10,0,0,1
ST130,Delhi,2025-10-15,Truck,12:35,14:26,43.3,433.0,Cash,2025-10-15 12:35:00,2025-10-15 14:26:00,111.0,12,14,Wednesday,False,10,0,0,1
ST139,Delhi,2025-10-15,Bus,12:06,13:44,87.8,878.0,Card,2025-10-15 12:06:00,2025-10-15 13:44:00,98.0,12,13,Wednesday,False,10,0,0,1
ST157,Delhi,2025-10-15,Car,18:55,20:34,31.4,314.0,Cash,2025-10-15 18:55:00,2025-10-15 20:34:00,99.0,18,20,Wednesday,False,10,0,0,1
ST161,Delhi,2025-10-15,Bike,11:35,13:33,45.3,453.0,Cash,2025-10-15 11:35:00,2025-10-15 13:33:00,118.0,11,13,Wednesday,False,10,1,0,0
ST170,Delhi,2025-10-15,Bus,06:28,07:48,11.1,111.0,UPI,2025-10-15 06:28:00,2025-10-15 07:48:00,80.0,6,7,Wednesday,False,10,0,0,1
ST174,Delhi,2025-10-15,Car,10:04,12:29,75.3,753.0,UPI,2025-10-15 10:04:00,2025-10-15 12:29:00,145.0,10,12,Wednesday,False,10,0,0,1
ST175,Delhi,2025-10-15,Bus,19:57,22:21,97.4,974.0,Cash,2025-10-15 19:57:00,2025-10-15 22:21:00,144.0,19,22,Wednesday,False,10,0,0,1
ST180,Delhi,2025-10-15,Bike,14:50,15:32,22.3,223.0,Card,2025-10-15 14:50:00,2025-10-15 15:32:00,42.0,14,15,Wednesday,False,10,1,0,0
ST185,Delhi,2025-10-15,Truck,14:13,17:09,79.5,795.0,Card,2025-10-15 14:13:00,2025-10-15 17:09:00,176.0,14,17,Wednesday,False,10,0,0,1
ST192,Delhi,2025-10-15,Bike,20:12,22:12,23.9,239.0,UPI,2025-10-15 20:12:00,2025-10-15 22:12:00,120.0,20,22,Wednesday,False,10,1,0,0
ST198,Delhi,2025-10-15,Bike,17:40,18:40,11.0,110.0,UPI,2025-10-15 17:40:00,2025-10-15 18:40:00,60.0,17,18,Wednesday,False,10,1,0,0
ST233,Delhi,2025-10-15,Truck,19:19,22:00,82.6,826.0,UPI,2025-10-15 19:19:00,2025-10-15 22:00:00,161.0,19,22,Wednesday,False,10,0,0,1
ST236,Delhi,2025-10-15,Bike,15:38,16:54,95.3,953.0,Cash,2025-10-15 15:38:00,2025-10-15 16:54:00,76.0,15,16,Wednesday,False,10,1,0,0
ST244,Delhi,2025-10-15,Truck,16:40,19:18,20.1,201.0,Cash,2025-10-15 16:40:00,2025-10-15 19:18:00,158.0,16,19,Wednesday,False,10,0,0,1
ST256,Delhi,2025-10-15,Car,10:28,12:11,81.5,815.0,UPI,2025-10-15 10:28:00,2025-10-15 12:11:00,103.0,10,12,Wednesday,False,10,0,0,1
ST263,Delhi,2025-10-15,Bike,15:26,17:23,37.7,377.0,Card,2025-10-15 15:26:00,2025-10-15 17:23:00,117.0,15,17,Wednesday,False,10,1,0,0
ST271,Delhi,2025-10-15,Bus,07:53,09:33,77.2,772.0,UPI,2025-10-15 07:53:00,2025-10-15 09:33:00,100.0,7,9,Wednesday,False,10,0,0,1
ST299,Delhi,2025-10-15,Bus,11:39,12:39,72.9,729.0,UPI,2025-10-15 11:39:00,2025-10-15 12:39:00,60.0,11,12,Wednesday,False,10,0,0,1
ST303,Delhi,2025-10-15,Car,15:28,17:19,50.1,501.0,Card,2025-10-15 15:28:00,2025-10-15 17:19:00,111.0,15,17,Wednesday,False,10,0,0,1
